base_total_goals,share_scale,mismatch_total_bonus,mismatch_scale,draw_boost_max,draw_boost_scale,status,error,n_matches,accuracy,mean_brier_score,mean_log_loss,mean_actual_outcome_probability,predicted_draw_rate,actual_draw_rate,draw_calibration_error,goal_mae,goal_rmse
2.45,220,0.7,650,0.035,100,ok,,866,0.6004618937644342,0.5298652599785206,0.8986317887869275,0.468100060021784,0.22634118069963954,0.22632794457274827,1.3236126891275068e-05,0.9331384363395149,1.2520406042275913
2.55,220,0.7,800,0.025,220,ok,,866,0.6004618937644342,0.5298801396835613,0.8986341759390717,0.4677690495039696,0.2256979160330101,0.22632794457274827,0.0006300285397381755,0.9382060150410538,1.252854600027889
2.65,220,0.7,800,0.025,220,ok,,866,0.6004618937644342,0.5299378068070235,0.8986343991075142,0.47032360186671457,0.21978962772984417,0.22632794457274827,0.006538316842904096,0.9474633818661892,1.2545252641539633
2.45,220,0.9,650,0.015,100,ok,,866,0.6004618937644342,0.5298781897531137,0.8986353130717438,0.46906885452637515,0.2203813662286875,0.22632794457274827,0.00594657834406076,0.9330071175093465,1.2505617844221188
2.45,220,0.9,650,0.025,300,ok,,866,0.6004618937644342,0.5299209253618237,0.8986354018375352,0.4662349660936211,0.23098424490113956,0.22632794457274827,0.0046563003283912885,0.9330071175093465,1.2505617844221188
2.75,220,0.7,800,0.045,150,ok,,866,0.6004618937644342,0.5300034445114084,0.898638835895919,0.4721413631442666,0.21954003457923277,0.22632794457274827,0.006787909993515501,0.9580830718393346,1.2585145035842173
2.55,220,0.9,800,0.025,150,ok,,866,0.6004618937644342,0.5298761581567535,0.8986394282051918,0.46865989857666,0.22292636969935856,0.22632794457274827,0.003401574873389712,0.9381916067814225,1.2522903431141248
2.45,220,0.7,650,0.025,100,ok,,866,0.6004618937644342,0.5298614941410527,0.898640158717447,0.46854297576983145,0.22339763732755308,0.22632794457274827,0.0029303072451951906,0.9331384363395149,1.2520406042275913
2.75,220,0.5,800,0.045,300,ok,,866,0.6004618937644342,0.5299720580455647,0.8986409204085581,0.4690233362675858,0.22855156710569816,0.22632794457274827,0.002223622532949887,0.958360622690362,1.260578274600051
2.55,220,0.9,800,0.025,300,ok,,866,0.6004618937644342,0.5298953076325649,0.8986412515562752,0.46703013846978914,0.22785460113385028,0.22632794457274827,0.0015266565611020133,0.9381916067814225,1.2522903431141248
2.55,220,0.7,650,0.025,150,ok,,866,0.6004618937644342,0.5299290517273285,0.8986443705023577,0.4703747478035103,0.2200243793931933,0.22632794457274827,0.006303565179554965,0.9414236110249639,1.2526050603711958
2.45,220,0.7,650,0.025,150,ok,,866,0.6004618937644342,0.5298805796834626,0.8986502011616267,0.4677798584768805,0.22612874119342705,0.22632794457274827,0.00019920337932122223,0.9331384363395149,1.2520406042275913
2.55,220,0.9,650,0.025,100,ok,,866,0.6004618937644342,0.5299476562412737,0.8986503287087844,0.4712178775335705,0.21722586567154478,0.22632794457274827,0.009102078901203486,0.941423565913288,1.2511784027912847
2.55,220,0.7,800,0.025,150,ok,,866,0.6004618937644342,0.5298791834230838,0.8986520306570621,0.468648207751866,0.22293689233164818,0.22632794457274827,0.00339105224110009,0.9382060150410538,1.252854600027889
2.55,220,0.7,800,0.025,300,ok,,866,0.6004618937644342,0.5298984527321476,0.8986538867861424,0.46701845142370435,0.22786512376613988,0.22632794457274827,0.001537179193391608,0.9382060150410538,1.252854600027889
2.75,220,0.5,800,0.035,300,ok,,866,0.6004618937644342,0.5299801411589066,0.8986609653493354,0.47043414474130135,0.2225442896134655,0.22632794457274827,0.0037836549592827617,0.958360622690362,1.260578274600051
2.75,220,0.5,800,0.045,220,ok,,866,0.6004618937644342,0.5299818420928211,0.8986627459042227,0.4703833548313599,0.22465059318606462,0.22632794457274827,0.001677351386683651,0.958360622690362,1.260578274600051
2.55,220,0.9,650,0.015,220,ok,,866,0.6004618937644342,0.5299648859248636,0.898663452024214,0.470674088898703,0.21757759883979985,0.22632794457274827,0.008750345732948417,0.941423565913288,1.2511784027912847
2.45,220,0.9,500,0.015,150,ok,,866,0.6004618937644342,0.5299862283159105,0.8986637475403924,0.4713673431002653,0.21732497824991093,0.22632794457274827,0.009002966322837341,0.9376889806673158,1.2500031302840564
2.45,220,0.7,650,0.015,300,ok,,866,0.6004618937644342,0.5298961086029091,0.8986742701729888,0.4675513383686299,0.22504969513568607,0.22632794457274827,0.001278249437062201,0.9331384363395149,1.2520406042275913
2.65,220,0.9,650,0.045,100,ok,,866,0.6004618937644342,0.5300272845465516,0.8986747827253282,0.4728025334650903,0.2173796407051062,0.22632794457274827,0.00894830386764206,0.951383798294315,1.25412365511037
